,ts_code,name,classify,list_date,delist_date
182,ACLD,,EQT,19901002,
183,ACLLF,,EQT,20140113,
184,ACLS,Axcelis,EQT,20000704,
185,ACLTF,,EQT,20140113,
186,ACM,AECOM,EQT,20070510,
187,ACMB,,EQT,20160602,
188,ACMC,,EQT,20001218,
189,ACMDY,,ADR,20181207,
190,ACMLF,,EQT,20191227,
191,ACMR,,EQT,20171103,
192,ACMT,,EQT,19721214,
193,ACMTA,,EQT,19870831,
194,ACN,埃森哲,EQT,20010719,
195,ACNB,,EQT,19901017,
196,ACNDF,,EQT,20070717,
197,ACNE,,EQT,19750131,
198,ACNFF,,EQT,20120504,
199,ACNI,,EQT,20050727,
200,ACNNF,,EQT,20170210,
201,ACNV,,EQT,20150127,
202,ACOPF,,EQT,20130426,
203,ACOPY,,ADR,20190521,
204,ACOR,,EQT,20060208,
205,ACOSF,,EQT,20140113,
206,ACPGF,,EQT,20191231,
207,ACPIF,,EQT,20140115,
208,ACPQF,,EQT,20170227,
209,ACPS,,EQT,20020308,
210,ACRB,,EQT,20101220,
211,ACRE,战神房产,EQT,20120426,
212,ACRFF,,EQT,20140113,
213,ACRGF,,EQT,20181116,
214,ACRL,,EQT,20160518,
215,ACRS,,EQT,20151007,
216,ACRX,,EQT,20110211,
217,ACSAF,,EQT,20140113,
218,ACSAY,,ADR,20140520,
219,ACSEF,,EQT,19970925,
220,ACSSF,,EQT,20170203,
221,ACST,,EQT,20110506,
222,ACSYF,,EQT,20140113,
223,ACTG,,EQT,20021216,
224,ACTL,,EQT,20160602,
225,ACTPF,,EQT,20140113,
226,ACU,,EQT,19721214,
227,ACUIF,,EQT,20161027,
228,ACUR,讴歌制药,EQT,19860314,
229,ACUS,,EQT,20030714,
230,ACWRF,,EQT,19600101,
231,ACXIF,,EQT,20140113,
232,ACY,,EQT,19980116,
233,ADAC,,EQT,20100831,
234,ADADD,,EQT,20150611,
235,ADAP,,ADR,20150506,
236,ADAPL,,EQT,20120223,
237,ADBCF,,EQT,20071010,
238,ADBE,Adobe,EQT,19860813,
239,ADBKF,,EQT,20190923,
240,ADBN,,EQT,19950503,
241,ADBRF,,EQT,20190904,
242,ADC,同意房产,EQT,19940415,
243,ADCOF,,EQT,20200127,
244,ADCT,,EQT,20200515,
245,ADCUF,,ADR,20200420,
246,ADCV,,EQT,20040525,
247,ADDC,,EQT,20131003,
248,ADDDF,,EQT,19951013,
249,ADDLF,,EQT,20190321,
250,ADDXF,,EQT,20081222,
251,ADDYY,,ADR,20041231,
252,ADEC,,EQT,20101005,
253,ADERY,,ADR,20130114,
254,ADES,,EQT,20031022,
255,ADEVF,,EQT,20200113,
256,ADEXF,,EQT,20140113,
257,ADFJF,,EQT,19600101,
258,ADFS,,EQT,20111201,
259,ADFT,,EQT,20100322,
260,ADGL,,EQT,20120312,
261,ADGO,,EQT,19950221,
262,ADGRF,,EQT,20171115,
263,ADGS,,EQT,20090119,
264,ADHC,,EQT,20030916,
265,ADHG,,EQT,20170512,
266,ADHLF,,EQT,19890117,
267,ADHMY,,ADR,20180129,
268,ADI,亚德诺,EQT,19730102,
269,ADIA,,EQT,20020927,
270,ADIL,,EQT,20180727,
271,ADIMF,,EQT,20140113,
272,ADKIL,,EQT,20150218,
273,ADKT,,EQT,19750131,
274,ADLDY,,ADR,20180712,
275,ADLI,,EQT,19910618,
276,ADM,,EQT,19620702,
277,ADMA,,EQT,20131017,
278,ADMG,,EQT,20120724,
279,ADMLF,,EQT,20190716,
280,ADMP,,EQT,20120724,
281,ADMQ,,EQT,20200205,
282,ADMS,,EQT,20140410,
283,ADMT,,EQT,19790215,
284,ADNT,,EQT,20161017,
285,ADNY,,EQT,19980528,
286,ADOCY,,ADR,20140818,
287,ADOM,,EQT,20170616,
288,ADOOY,,ADR,20100507,
289,ADP,,EQT,19670626,
290,ADPAJ,,EQT,20070222,
291,ADPAS,,EQT,20070222,
292,ADPPF,,EQT,20171102,
293,ADPT,Adaptive,EQT,20190627,
294,ADPXF,,EQT,20111128,
295,ADPXY,,ADR,20110707,
296,ADRNY,,ADR,19900719,
297,ADRO,,EQT,20150415,
298,ADRZF,,EQT,20140113,
299,ADRZY,,ADR,20100908,
300,ADS,,EQT,20010608,
301,ADSK,欧特克,EQT,19850628,
302,ADST,,EQT,20000118,
303,ADSV,,EQT,19950810,
304,ADSW,,EQT,20161006,
305,ADT,,EQT,20180119,
306,ADTC,,EQT,19930910,
307,ADTFF,,EQT,19600101,
308,ADTM,,EQT,20100708,
309,ADTN,,EQT,19940809,
310,ADTR,,EQT,20030715,
311,ADTTF,,EQT,20140113,
312,ADTY,,EQT,20010109,
313,ADUS,,EQT,20091028,
314,ADVC,,EQT,20000919,
315,ADVM,,EQT,20140731,
316,ADVOF,,EQT,20140113,
317,ADVT,,EQT,19890130,
318,ADVV,,EQT,20171108,
319,ADVZF,,EQT,20180828,
320,ADWPF,,EQT,20140113,
321,ADXDF,,EQT,20140113,
322,ADXN,,ADR,20200129,
323,ADXRF,,EQT,19870325,
324,ADXS,,EQT,20050726,
325,ADYEY,,ADR,20191003,
326,ADYX,,EQT,20120725,
327,ADYYF,,EQT,20180615,
328,ADZZF,,EQT,20110316,
329,AE,,EQT,19750131,
330,AEBLF,,EQT,20190404,
331,AEBMY,,EQT,20010109,
332,AEBZY,,ADR,20130405,
333,AECFF,,EQT,20140113,
334,AECLY,,ADR,19740319,
335,AEDC,,EQT,20111011,
336,AEDFF,,EQT,20200224,
337,AEE,,EQT,19750102,
338,AEEI,,EQT,20000816,
339,AEEX,,EQT,20160614,
340,AEG,,ADR,19850628,
341,AEGG,,EQT,20010522,
342,AEGN,,EQT,19811202,
343,AEGOF,,EQT,20140113,
344,AEGXF,,EQT,19600101,
345,AEGY,,EQT,20090629,
346,AEHR,,EQT,19970815,
347,AEIS,先进能源,EQT,19951116,
348,AEL,,EQT,20031126,
349,AELIY,,ADR,20140707,
350,AELPRA,,EQT,20191115,
351,AELPRB,,EQT,20200611,
352,AELTF,,EQT,20140113,
353,AEM,,EQT,19740319,
354,AEMC,,EQT,20040910,
355,AEMD,,EQT,20000404,
356,AEMMF,,EQT,20140113,
357,AEMMY,,ADR,20130621,
358,AENG,,EQT,19971219,
359,AEO,美鹰服饰,EQT,19940414,
360,AEOJF,,EQT,20140113,
361,AEOMF,,EQT,20180125,
362,AEOXF,,EQT,20130402,
363,AEP,美国电力,EQT,19620702,
364,AEPLF,,EQT,20140113,
365,AEPPRB,,EQT,20190318,
366,AEPT,,EQT,20041215,
367,AER,,EQT,20061121,
368,AERG,,EQT,20120724,
369,AERI,,EQT,20131025,
370,AERN,,EQT,19930701,
371,AERO,,EQT,20061229,
372,AERS,,EQT,20050719,
373,AES,爱依斯,EQT,19910626,
374,AESE,,EQT,20171025,
375,AESO,,EQT,20050411,
376,AESTY,,ADR,20180215,
377,AETLF,,EQT,20200626,
378,AETUF,,EQT,20061228,
379,AEXAF,,EQT,20140113,
380,AEXAY,,ADR,20150415,
381,AEXE,,EQT,20141016,
382,AEXFF,,EQT,20140113,
383,AEY,,EQT,19910827,
384,AEYE,,EQT,20130426,
385,AEZS,,EQT,19951219,
386,AFAP,,EQT,19750102,
387,AFBA,,EQT,20011231,
388,AFBG,,EQT,20101008,
389,AFBOF,,EQT,20150513,
390,AFCJF,,EQT,20150814,
391,AFCL,,EQT,20110111,
